name,habitat,food,nesting,behaviour,conservation,length,MaxLength,wingspan,MaxWingspan,weight,AvgWeight,Clutch Size,MinClutch,MaxClutch,number of broods,MaxBrood,Egg Length,MaxEggL,Egg Width,MaxEggW,Incubation period,MaxIncubation,MinIncubation,nestling period,MinNestling,MaxNestling,order 2,family 2
Northern Shoveler,Marsh,Plants,Ground,Dabbler,Least Concern,44-51,51,,,400-820,610.0,8-12,8,12,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Lesser Scaup,Lake/Pond,Insects,Ground,Surface Dive,Least Concern,39-46,46, 68-78,78,454-1089,771.5,6-14,6,14,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
American Wigeon,Lake/Pond,Plants,Ground,Dabbler,Least Concern,42-59,59, 84, 84,540-1330,935.0,3-13,3,13,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Ring-necked Duck,Lake/Pond,Plants,Ground,Surface Dive,Least Concern,39-46,46, 62-63,63,490-910,700.0,6-14,6,14, 1 , 1 ,1.9-2.4,2.4,1.4-1.7,1.7,25-29,29,25,1-2,1,2, ANSERIFORMES, ANATIDAE
Black-bellied Whistling-Duck,Marsh,Plants,Cavity,Dabbler,Least Concern,47-51,51,,,652-1020,836.0,9-18,9,18, 1-2 ,2 ,4.5-6.2,6.2,3-4.2,4.2,25-30,30,25,10-13,10,13, ANSERIFORMES, ANATIDAE
Greater White-fronted Goose,Lake/Pond,Plants,Ground,Dabbler,Least Concern,64-81,81, 135, 135,1951-3311,2631.0,1-8,1,8,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Barrow's Goldeneye,Lake/Pond,Insects,Cavity,Surface Dive,Least Concern,43-48,48,,,480-1320,900.0,1-28,1,28,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Cackling Goose,Lake/Pond,Plants,Ground,Dabbler,Least Concern,55-75,75,,,950-3000,1975.0,2-8,2,8,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Ross's Goose,Lake/Pond,Plants,Ground,Ground Forager,Least Concern,57-64,64, 114, 114,860-2040,1450.0,2-6,2,6,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
White-winged Scoter,Lake/Pond,Insects,Ground,Surface Dive,Least Concern,48-58,58, 80, 80,950-1800,1375.0,6-16,6,16,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Long-tailed Duck,Lake/Pond,Insects,Ground,Surface Dive,Vulnerable,38-58,58, 72, 72,500-1100,800.0,5-10,5,10,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
American Black Duck,Lake/Pond,Insects,Ground,Dabbler,Least Concern,54-59,59, 88-95,95,720-1640,1180.0,6-14,6,14, 1 , 1 ,5.5-6.4,6.4,4.1-4.5,4.5,23-33,33,23,1,1,1, ANSERIFORMES, ANATIDAE
Brant,Marsh,Plants,Ground,Dabbler,Least Concern,56-66,66,,,1200-1800,1500.0,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Mute Swan,Lake/Pond,Plants,Ground,Dabbler,Least Concern,127-152,152, 208-238,238,5500-14300,9900.0,1-11,1,11,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Mallard,Lake/Pond,Seeds,Ground,Dabbler,Least Concern,50-65,65, 82-95,95,1000-1300,1150.0,1-13,1,13, 1-2 ,2 ,5.3-6.4,6.4,3.9-4.5,4.5,23-30,30,23,,,, ANSERIFORMES, ANATIDAE
Tundra Swan,Lake/Pond,Plants,Ground,Dabbler,Least Concern,120-147,147, 168, 168,3800-10500,7150.0,3-5,3,5,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Blue-winged Teal,Lake/Pond,Seeds,Ground,Dabbler,Least Concern,36-41,41, 56-62,62,230-545,387.5,6-14,6,14, 1 , 1 ,3.8-5.2,5.2,2.9-3.7,3.7,19-29,29,19,40,40,40, ANSERIFORMES, ANATIDAE
Harlequin Duck,River/Stream,Insects,Ground,Surface Dive,Least Concern,33-54,54, 56-66,66,500-726,613.0,3-9,3,9,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Eurasian Wigeon,Lake/Pond,Plants,Ground,Dabbler,Least Concern,42-52,52,,,500-950,725.0,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Fulvous Whistling-Duck,Marsh,Plants,Ground,Dabbler,Least Concern,44-51,51,,,595-964,779.5,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Steller's Eider,Lake/Pond,Insects,Ground,Dabbler,Vulnerable,43-45,45,,,850-880,865.0,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Snow Goose,Lake/Pond,Plants,Ground,Dabbler,Least Concern,69-83,83, 138, 138,1600-3300,2450.0,2-6,2,6, 1 , 1 ,7.9-8.3,8.3,5.1-5.5,5.5,24,24,24,1,1,1, ANSERIFORMES, ANATIDAE
Redhead,Lake/Pond,Plants,Floating,Surface Dive,Least Concern,42-54,54, 75-79,79,630-1500,1065.0,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Common Eider,Ocean,Insects,Ground,Surface Dive,Least Concern,50-71,71,,,1180-3040,2110.0,1-14,1,14,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Green-winged Teal,Marsh,Seeds,Ground,Dabbler,Least Concern,31-39,39, 52-59,59,140-500,320.0,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Canvasback,Lake/Pond,Plants,Floating,Surface Dive,Least Concern,48-56,56, 79-89,89,862-1588,1225.0,5-11,5,11,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Gadwall,Marsh,Plants,Ground,Dabbler,Least Concern,46-57,57, 84, 84,500-1250,875.0,7-12,7,12, 1 , 1 ,4.9-6,6,3.4-4.4,4.4,24-27,27,24,1-2,1,2, ANSERIFORMES, ANATIDAE
Bufflehead,Lake/Pond,Insects,Cavity,Surface Dive,Least Concern,32-40,40, 55, 55,272-635,453.5,4-17,4,17,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
King Eider,Ocean,Insects,Ground,Surface Dive,Least Concern,47-64,64,,,1200-2100,1650.0,2-7,2,7,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Red-breasted Merganser,Lake/Pond,Fish,Ground,Surface Dive,Least Concern,51-64,64, 66-74,74,800-1350,1075.0,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Common Murre,Ocean,Fish,Cliff,Surface Dive,Least Concern,38-43,43, 64-71,71,800-1125,962.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Cassin's Auklet,Ocean,Insects,Burrow,Surface Dive,Least Concern,23,23,,,150-200,175.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Parakeet Auklet,Ocean,Insects,Burrow,Surface Dive,Least Concern,23-26,26,,,238-347,292.5,1,1,1,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Atlantic Puffin,Ocean,Fish,Burrow,Surface Dive,Least Concern,,,,,,,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Ancient Murrelet,Ocean,Fish,Burrow,Surface Dive,Least Concern,20-24,24, 45-46,46,153-250,201.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Rhinoceros Auklet,Ocean,Fish,Burrow,Surface Dive,Least Concern,28-29,29, 59-62,62,350-620,485.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Dovekie,Ocean,Insects,Cliff,Surface Dive,Least Concern,19-23,23, 38, 38,134-204,169.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Razorbill,Ocean,Fish,Cliff,Surface Dive,Least Concern,43,43, 63-68,68,505-890,697.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Black Guillemot,Ocean,Fish,Cliff,Surface Dive,Least Concern,30-32,32, 52-58,58,320-485,402.5,1-2,1,2,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Marbled Murrelet,Ocean,Fish,Tree,Surface Dive,Endangered,24-25,25,,,258-357,307.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Thick-billed Murre,Ocean,Fish,Cliff,Surface Dive,Least Concern,45,45,,,750-1481,1115.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Tufted Puffin,Ocean,Fish,Burrow,Surface Dive,Least Concern,36-40,40, 74, 74,520-1000,760.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Pigeon Guillemot,Ocean,Fish,Cliff,Surface Dive,Least Concern,30-35,35, 55-59,59,450-550,500.0,1-2,1,2,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Horned Puffin,Ocean,Fish,Cliff,Surface Dive,Least Concern,38,38,,,483-648,565.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Ruby-crowned Kinglet,Forest,Insects,Tree,Foliage Gleaner,Least Concern,9-11,11, 16-18,18,5-10,7.5,5-12,5,12, 1 , 1 ,1.3-1.5,1.5,1-1.2,1.2,12-14,14,12,16-18,16,18, PASSERIFORMES, REGULIDAE
Golden-crowned Kinglet,Forest,Insects,Tree,Foliage Gleaner,Least Concern,8-11,11, 14-18,18,4-8,6.0,3-11,3,11, 1-2 ,2 ,1.2-1.5,1.5,0.7-1.1,1.1,15,15,15,16-19,16,19, PASSERIFORMES, REGULIDAE
Yellow-rumped Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12-14,14, 19-23,23,12-13,12.5,1-6,1,6, 1-2 ,2 ,1.7-2.1,2.1,1.3-1.5,1.5,12-13,13,12,10-14,10,14, PASSERIFORMES, PARULIDAE
Black-throated Blue Warbler,Forest,Insects,Shrub,Foliage Gleaner,Least Concern,11-13,13, 17-20,20,8-12,10.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Common Yellowthroat,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,11-13,13, 15-19,19,9-10,9.5,1-6,1,6, 1-2 ,2 ,1.5-2,2,1.2-1.5,1.5,12,12,12,12,12,12, PASSERIFORMES, PARULIDAE
Lucy's Warbler,Open Woodland,Insects,Cavity,Foliage Gleaner,Least Concern,9-12,12,,,5-8,6.5,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Cerulean Warbler,Forest,Insects,Tree,Foliage Gleaner,Vulnerable,11,11, 20, 20,8-10,9.0,1-5,1,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Prothonotary Warbler,Forest,Insects,Cavity,Bark Forager,Least Concern,,,,,,,3-7,3,7, 1-3 ,3 ,1.8-1.9,1.9,1.4-1.5,1.5,12-14,14,12,9-10,9,10, PASSERIFORMES, PARULIDAE
Nashville Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,10-12,12, 17-20,20,7-12,9.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Black-throated Gray Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-13,13,,,7-10,8.5,,,,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Townsend's Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12,12, 20, 20,7-11,9.0,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Black-and-white Warbler,Forest,Insects,Ground,Bark Forager,Least Concern,11-13,13, 18-22,22,8-15,11.5,4-6,4,6, 1-2 ,2 ,1.5-1.9,1.9,1.3-1.4,1.4,10-12,12,10,8-12,8,12, PASSERIFORMES, PARULIDAE
Pine Warbler,Forest,Insects,Tree,Bark Forager,Least Concern,13-14,14, 19-23,23,9-15,12.0,3-5,3,5, 1-2 ,2 ,1.6-2,2,1.2-1.5,1.5,10-13,13,10,10,10,10, PASSERIFORMES, PARULIDAE
Chestnut-sided Warbler,Open Woodland,Insects,Shrub,Foliage Gleaner,Least Concern,10-11,11, 18-21,21,,,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Yellow Warbler,Open Woodland,Insects,Shrub,Foliage Gleaner,Least Concern,12-13,13, 16-20,20,9-11,10.0,1-7,1,7, 1-2 ,2 ,1.5-2.1,2.1,1.2-1.6,1.6,10-13,13,10,9-12,9,12, PASSERIFORMES, PARULIDAE
Canada Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,12-15,15, 17-22,22,9-13,11.0,,,,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Bay-breasted Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,14,14, 20-22,22,10-17,13.5,4-7,4,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
MacGillivray's Warbler,Open Woodland,Insects,Shrub,Foliage Gleaner,Least Concern,10-15,15, 19, 19,9-13,11.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Yellow-breasted Chat,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,18,18, 25, 25,23-31,27.0,1-6,1,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Swainson's Warbler,Forest,Insects,Shrub,Ground Forager,Least Concern,13-14,14, 23, 23,11-20,15.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Blackburnian Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-12,12, 20-21,21,9-13,11.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Cape May Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12-13,13, 19-22,22,9-12,10.5,4-9,4,9,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Connecticut Warbler,Forest,Insects,Ground,Ground Forager,Least Concern,13-15,15, 22, 22,15,15,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Blackpoll Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,14,14, 21-23,23,12-13,12.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Tennessee Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,10-13,13, 20, 20,8-13,10.5,3-8,3,8,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Mourning Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,10-15,15, 18, 18,11-13,12.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Northern Parula,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-12,12, 16-18,18,5-11,8.0,2-7,2,7, 1-2 ,2 ,1.5-1.8,1.8,1.2-1.3,1.3,12-14,14,12,10-11,10,11, PASSERIFORMES, PARULIDAE
Grace's Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12,12, 20, 20,7-9,8.0,,,,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Golden-cheeked Warbler,Forest,Insects,Tree,Foliage Gleaner,Endangered,12-13,13, 20, 20,7-15,11.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Painted Redstart,Forest,Insects,Ground,Foliage Gleaner,Least Concern,13-15,15, 21, 21,8-11,9.5,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Louisiana Waterthrush,River/Stream,Insects,Ground,Ground Forager,Least Concern,14,14, 24, 24,19-23,21.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Magnolia Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-13,13, 16-20,20,6-15,10.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Northern Waterthrush,Forest,Insects,Ground,Ground Forager,Least Concern,12-14,14, 21-24,24,13-25,19.0,1-6,1,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Red-faced Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,14,14, 21, 21,8-11,9.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Kirtland's Warbler,Open Woodland,Insects,Ground,Foliage Gleaner,Near Threatened,14-15,15,,,14,14,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Worm-eating Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,11-13,13,,,12-14,13.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Orange-crowned Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,11-14,14, 19, 19,7-11,9.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Kentucky Warbler,Forest,Insects,Ground,Ground Forager,Least Concern,13,13, 18-22,22,10-14,12.0,,,,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
American Redstart,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-13,13, 16-19,19,6-9,7.5,1-5,1,5, 1 , 1 ,1.6,1.6,1.2,1.2,10-13,13,10,7-13,7,13, PASSERIFORMES, PARULIDAE
Wilson's Warbler,Scrub,Insects,Ground,Foliage Gleaner,Least Concern,10-12,12, 14-17,17,5-10,7.5,2-7,2,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Blue-winged Warbler,Open Woodland,Insects,Ground,Foliage Gleaner,Least Concern,11-12,12, 15, 15,,,2-7,2,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Prairie Warbler,Open Woodland,Insects,Shrub,Foliage Gleaner,Least Concern,11,11,,,6-9,7.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Hermit Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,14,14, 20, 20,9-13,11.0,4-5,4,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Palm Warbler,Open Woodland,Insects,Ground,Ground Forager,Least Concern,12-14,14, 20-21,21,7-13,10.0,4-5,4,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Hooded Warbler,Forest,Insects,Shrub,Foliage Gleaner,Least Concern,13,13,,,9-12,10.5,,,,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Yellow-throated Warbler,Forest,Insects,Tree,Bark Forager,Least Concern,13-14,14, 21, 21,9-11,10.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Ovenbird,Forest,Insects,Ground,Ground Forager,Least Concern,11-14,14, 19-26,26,16-28,22.0,3-6,3,6, 1-2 ,2 ,1.9-2.2,2.2,1.4-1.6,1.6,11-14,14,11,7-10,7,10, PASSERIFORMES, PARULIDAE
Golden-winged Warbler,Open Woodland,Insects,Ground,Foliage Gleaner,Near Threatened,13,13,,,8-11,9.5,3-6,3,6, 1 , 1 ,1.4-1.9,1.9,1.1-1.4,1.4,10-12,12,10,8-9,8,9, PASSERIFORMES, PARULIDAE
Black-throated Green Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,11-12,12, 17-20,20,7-11,9.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
American Avocet,Marsh,Insects,Ground,Probing,Least Concern,43-47,47, 72, 72,275-350,312.5,3-4,3,4,,,,,,,,,,,,, CHARADRIIFORMES, RECURVIROSTRIDAE
Black-necked Stilt,Shore-line,Insects,Ground,Probing,Least Concern,35-39,39, 71, 71,136-220,178.0,1-5,1,5, 1 , 1 ,3.7-5.1,5.1,2.6-3.6,3.6,21-26,26,21,,,, CHARADRIIFORMES, RECURVIROSTRIDAE
House Sparrow,Town,Seeds,Cavity,Ground Forager,Least Concern,15-17,17, 19-25,25,27-29,28.0,1-8,1,8, 1-4 ,4 ,2-2.2,2.2,1.4-1.6,1.6,10-14,14,10,10-14,10,14, PASSERIFORMES, PASSERIDAE
Eurasian Tree Sparrow,Town,Seeds,Cavity,Ground Forager,Least Concern,14-15,15, 20-22,22,18-28,23.0,4-7,4,7,,,,,,,,,,,,, PASSERIFORMES, PASSERIDAE
Verdin,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,9-11,11,,,5-8,6.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, REMIZIDAE
Pygmy Nuthatch,Forest,Insects,Cavity,Bark Forager,Least Concern,9-11,11,,,9-11,10.0,5-9,5,9, 1-2 ,2 ,1.4-1.7,1.7,1.1-1.3,1.3,12-17,17,12,14-22,14,22, PASSERIFORMES, SITTIDAE
Red-breasted Nuthatch,Forest,Insects,Cavity,Bark Forager,Least Concern,11,11, 18-20,20,8-13,10.5,2-8,2,8, 1 , 1 ,1.5-1.7,1.7,1.1-1.3,1.3,12-13,13,12,18-21,18,21, PASSERIFORMES, SITTIDAE
Brown-headed Nuthatch,Forest,Insects,Cavity,Bark Forager,Least Concern,10-11,11, 16-18,18,10,10,3-9,3,9,,,,,,,,,,,,, PASSERIFORMES, SITTIDAE
White-breasted Nuthatch,Forest,Insects,Cavity,Bark Forager,Least Concern,13-14,14, 20-27,27,18-30,24.0,5-9,5,9, 1 , 1 ,1.8-2,2,1.5,1.5,13-14,14,13,26,26,26, PASSERIFORMES, SITTIDAE
Ring-necked Pheasant,Grassland,Omnivore,Ground,Ground Forager,Least Concern,50-70,70, 56-86,86,500-3000,1750.0,7-15,7,15, 1-2 ,2 ,4.1-4.9,4.9,3.3-3.8,3.8,23-28,28,23,,,, GALLIFORMES, PHASIANIDAE
Gunnison Sage-Grouse,Grassland,Plants,Ground,Ground Forager,Endangered,46-56,56,,,990-2435,1712.5,3-10,3,10, 1 , 1 ,5.4-5.6,5.6,3.7-3.9,3.9,25-29,29,25,1,1,1, GALLIFORMES, PHASIANIDAE
Dusky Grouse,Forest,Plants,Ground,Ground Forager,Least Concern,40-50,50,,,750-1300,1025.0,,,,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
White-tailed Ptarmigan,Mountains,Plants,Ground,Ground Forager,Least Concern,30-31,31,,,330-480,405.0,2-8,2,8,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Greater Prairie-Chicken,Grassland,Seeds,Ground,Ground Forager,Vulnerable,43,43,,,700-1200,950.0,,,,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Lesser Prairie-Chicken,Grassland,Insects,Ground,Ground Forager,Vulnerable,38-41,41,,,628-813,720.5,,,,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Greater Sage-Grouse,Grassland,Plants,Ground,Ground Forager,Near Threatened,56-75,75,,,1400-2900,2150.0,4-11,4,11, 1 , 1 ,5.5-5.8,5.8,3.8-3.9,3.9,25-29,29,25,1,1,1, GALLIFORMES, PHASIANIDAE
Sooty Grouse,Forest,Plants,Ground,Ground Forager,Least Concern,40-50,50,,,750-1300,1025.0,,,,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Rock Ptarmigan,Mountains,Plants,Ground,Ground Forager,Least Concern,32-40,40,,,440-640,540.0,3-13,3,13,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Willow Ptarmigan,Scrub,Plants,Ground,Foliage Gleaner,Least Concern,35-44,44, 60-65,65,430-810,620.0,4-14,4,14,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Ruffed Grouse,Forest,Omnivore,Ground,Foliage Gleaner,Least Concern,40-50,50, 50-64,64,450-750,600.0,9-14,9,14, 1 , 1 ,3.78-4.14,4.14,2.9-3,3,23-24,24,23,1,1,1, GALLIFORMES, PHASIANIDAE
Spruce Grouse,Forest,Plants,Ground,Foliage Gleaner,Least Concern,39-40,40, 57, 57,400-650,525.0,4-6,4,6,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Wild Turkey,Open Woodland,Omnivore,Ground,Ground Forager,Least Concern,110-115,115, 125-144,144,2500-10800,6650.0,4-17,4,17, 1 , 1 ,4.9-6.9,6.9,4.1-4.7,4.7,25-31,31,25,1,1,1, GALLIFORMES, PHASIANIDAE
Pileated Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,40-49,49, 66-75,75,250-350,300.0,3-5,3,5, 1 , 1 ,3-3.5,3.5,2.4-2.6,2.6,15-18,18,15,24-28,24,28, PICIFORMES, PICIDAE
Red-breasted Sapsucker,Forest,Insects,Cavity,Bark Forager,Least Concern,20-22,22, 37-40,40,39-68,53.5,4-7,4,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
Red-bellied Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,24,24, 33-42,42,56-91,73.5,2-6,2,6, 1-3 ,3 ,2.2-2.9,2.9,1.7-2.2,2.2,12,12,12,24-27,24,27, PICIFORMES, PICIDAE
Ladder-backed Woodpecker,Deserts,Insects,Cavity,Bark Forager,Least Concern,16-18,18,,,21-48,34.5,4-7,4,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
Williamson's Sapsucker,Forest,Insects,Cavity,Bark Forager,Least Concern,21-25,25,,,44-55,49.5,,,,,,,,,,,,,,,, PICIFORMES, PICIDAE
Arizona Woodpecker,Open Woodland,Insects,Cavity,Bark Forager,Least Concern,18-20,20, 36, 36,34-51,42.5,2-4,2,4,,,,,,,,,,,,, PICIFORMES, PICIDAE
White-headed Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,21-23,23,,,55-65,60.0,2-9,2,9,,,,,,,,,,,,, PICIFORMES, PICIDAE
Gilded Flicker,Deserts,Insects,Cavity,Ground Forager,Least Concern,28,28, 48, 48,92-129,110.5,3-8,3,8,,,,,,,,,,,,, PICIFORMES, PICIDAE
Red-cockaded Woodpecker,Open Woodland,Insects,Cavity,Bark Forager,Vulnerable,20-23,23, 36, 36,42-52,47.0,2-5,2,5,,,,,,,,,,,,, PICIFORMES, PICIDAE
Northern Flicker,Open Woodland,Insects,Cavity,Ground Forager,Least Concern,28-31,31, 42-51,51,110-160,135.0,5-8,5,8, 1 , 1 ,1.9-3.6,3.6,1.6-3.3,3.3,11-13,13,11,24-27,24,27, PICIFORMES, PICIDAE
Black-backed Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,23,23,,,61-88,74.5,3-6,3,6,,,,,,,,,,,,, PICIFORMES, PICIDAE
Downy Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,14-17,17, 25-30,30,21-28,24.5,3-8,3,8, 1 , 1 ,1.9-2,2,1.4-1.5,1.5,12,12,12,18-21,18,21, PICIFORMES, PICIDAE
Red-naped Sapsucker,Forest,Insects,Cavity,Bark Forager,Least Concern,19-21,21,,,32-66,49.0,3-7,3,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
Yellow-bellied Sapsucker,Forest,Insects,Cavity,Bark Forager,Least Concern,18-22,22, 34-40,40,43-55,49.0,4-6,4,6, 1 , 1 ,2-2.6,2.6,1.6-1.8,1.8,10-13,13,10,25-30,25,30, PICIFORMES, PICIDAE
Gila Woodpecker,Deserts,Omnivore,Cavity,Bark Forager,Least Concern,24,24, 41, 41,51-79,65.0,2-7,2,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
Ivory-billed Woodpecker,Forest,Insects,Cavity,Bark Forager,Critically Endangered,46-51,51, 76-80,80,450-570,510.0,1-5,1,5,,,,,,,,,,,,, PICIFORMES, PICIDAE
Acorn Woodpecker,Open Woodland,Insects,Cavity,Bark Forager,Least Concern,19-23,23, 35-43,43,65-90,77.5,3-6,3,6, 1-2 ,2 ,2.3-2.7,2.7,1.8-2,2,11,11,11,30-32,30,32, PICIFORMES, PICIDAE
Golden-fronted Woodpecker,Open Woodland,Insects,Cavity,Bark Forager,Least Concern,22-26,26, 43, 43,65-102,83.5,4-7,4,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
Nuttall's Woodpecker,Open Woodland,Insects,Cavity,Bark Forager,Least Concern,16-18,18,,,30-45,37.5,3-6,3,6,,,,,,,,,,,,, PICIFORMES, PICIDAE
